iteration,collectionName,requestName,method,url,status,code,responseTime,responseSize,executed,failed,skipped,totalAssertions,executedCount,failedCount,skippedCount
"1","API_Project_Brevo","Get all Companies","GET","https://api.brevo.com/v3/companies","OK","200","756","4170","The value of pager limit, Body response includes industry string, Body response includes attributes string, Body response includes linkedContacts string, Body response includes linkedContactsIds string, Body response includes linkedDealsIds string, Content-Type is present n headers, Content-Encoding is present n headers",,,"8","8","0","0"
"1","API_Project_Brevo","Create a company","POST","https://api.brevo.com/v3/companies","OK","200","361","34","Body response includes id string, Content-Type is present n headers, Content-Length is present in headers",,,"3","3","0","0"
"1","API_Project_Brevo","Get company attributes","GET","https://api.brevo.com/v3/companies/attributes","OK","200","339","1719","Body response includes required string, Body response includes label string, Body response includes attributeOptions string, Body response includes attributeTypeName string, Body response includes internalName string, Content-Type is present n headers, Content-Encoding is present n headers",,,"7","7","0","0"
"1","API_Project_Brevo","Get a company","GET","https://api.brevo.com/v3/companies/6632c6b60d80fe94af2710b4","OK","200","298","447","Test for company domain value, Test for company industry value, Test for company name, Body response includes linkedContactsIds string, Body response includes createdBy string, Content-Type is present n headers, Transfer-Encoding is present n headers",,,"7","7","0","0"
"1","API_Project_Brevo","Link and Unlink company with contact and deal","PATCH","https://api.brevo.com/v3/companies/link-unlink/663380ef8a082c773b9dd539","No Content","204","412","0","Empty body response, Status code is 204, Status code name has a No Content string",,,"3","3","0","0"
"1","API_Project_Brevo","Update a company","PATCH","https://api.brevo.com/v3/companies/663a86478f05a64ad9896336","No Content","204","327","0","Empty body response, Status code is 204, Status code name has a No Content string",,,"3","3","0","0"
"1","API_Project_Brevo","Delete a company","DELETE","https://api.brevo.com/v3/companies/663a86478f05a64ad9896336","No Content","204","315","0","Empty body response, Status code is 204, Status code name has a No Content string",,,"3","3","0","0"
"1","API_Project_Brevo","Get pipeline stages","GET","https://api.brevo.com/v3/crm/pipeline/details","OK","200","212","542","Verify the pipeline value, Verify the pipeline name, Body response includes pipeline attribute, Body response includes pipeline_name attribute, Body response includes Deals Pipeline string, Body response includes New string, Body response includes Qualifying string, Content-Type is present n headers, Content-Encoding is present n headers",,,"9","9","0","0"
"1","API_Project_Brevo","Get all deals","GET","https://api.brevo.com/v3/crm/deals","OK","200","254","3327","The value of pager limit, Body response includes id attribute, Body response includes deal_name attribute, Body response includes deal_owner attribute, Body response includes linkedContactsIds attribute, Body response includes linkedCompaniesIds attribute, Content-Encoding is present n headers, Transfer-Encoding is present n headers",,,"8","8","0","0"
"1","API_Project_Brevo","Create a deal","POST","https://api.brevo.com/v3/crm/deals","OK","200","711","34","Body response includes id string, Content-Type is present n headers, Content-Length is present in headers",,,"3","3","0","0"
"1","API_Project_Brevo","Get a deal","GET","https://api.brevo.com/v3/crm/deals/6632a113d8ccc2aafe650116","OK","200","237","622","Test for deal_name, Test for deal amount value, Test for deal creation date, Body response includes linkedCompaniesIds attribute, Body response includes createdBy attribute, Body response includes linkedContactsIds attribute, Content-Encoding is present n headers, Transfer-Encoding is present n headers",,,"8","8","0","0"
"1","API_Project_Brevo","Link and Unlink a deal with contacts and companies","PATCH","https://api.brevo.com/v3/crm/deals/link-unlink/663394dda3602a4b397a269e","No Content","204","656","0","Empty body response, Status code is 204, Status code name has a No Content string",,,"3","3","0","0"
"1","API_Project_Brevo","Get deal attributes","GET","https://api.brevo.com/v3/crm/attributes/deals","OK","200","395","4629","Body response includes internalName string, Body response includes label string, Body response includes attributeOptions string, Body response includes attributeTypeName string, Body response includes isRequired string, Content-Type is present n headers, Content-Encoding is present n headers, Server is present n headers",,,"8","8","0","0"
"1","API_Project_Brevo","Update a deal","PATCH","https://api.brevo.com/v3/crm/deals/663a864b9ade84f7a45cfa2e","No Content","204","402","0","Empty body response, Status code is 204, Status code name has a No Content string",,,"3","3","0","0"
"1","API_Project_Brevo","Delete a deal","DELETE","https://api.brevo.com/v3/crm/deals/663a864b9ade84f7a45cfa2e","No Content","204","319","0","Empty body response, Status code is 204, Status code name has a No Content string",,,"3","3","0","0"
"1","API_Project_Brevo","Get all tasks","GET","https://api.brevo.com/v3/crm/tasks","OK","200","429","4504","The value of pager limit, Body response includes id attribute, Body response includes taskTypeId attribute, Body response includes name attribute, Body response includes contactsIds attribute, Body response includes dealsIds attribute, Body response includes companiesIds attribute, Content-Type is present n headers, Content-Encoding is present n headers, Transfer-Encoding is present n headers",,,"10","10","0","0"
"1","API_Project_Brevo","Get all task types","GET","https://api.brevo.com/v3/crm/tasktypes","OK","200","330","485","Body response includes id attribute, Body response includes title attribute, Content-Type is present in headers, Content-Encoding is present in headers, Connection is present in headers",,,"5","5","0","0"
"1","API_Project_Brevo","Create a task","POST","https://api.brevo.com/v3/crm/tasks","Created","201","419","63","Body response includes id attribute, Body response includes priority attribute, Transfer-Encoding is present in headers, Connection is present in headers",,,"4","4","0","0"
"1","API_Project_Brevo","Get a task","GET","https://api.brevo.com/v3/crm/tasks/6632a11496005975489897f2","OK","200","329","282","Test for task Type Id, Test for task name, Test for task priority value, Test for deal creation date, Body response includes companiesIds attribute, Body response includes createdAt attribute, Body response includes contactsIds attribute, Content-Encoding is present n headers, Transfer-Encoding is present n headers",,,"9","9","0","0"
"1","API_Project_Brevo","Update a task","PATCH","https://api.brevo.com/v3/crm/tasks/663a864f89d58b5be100841e","No Content","204","378","0","Empty body response, Status code is 204, Status code name has a No Content string",,,"3","3","0","0"
"1","API_Project_Brevo","Delete a task","DELETE","https://api.brevo.com/v3/crm/tasks/663a864f89d58b5be100841e","No Content","204","343","0","Empty body response, Status code is 204, Status code name has a No Content string",,,"3","3","0","0"
"1","API_Project_Brevo","Get all notes","GET","https://api.brevo.com/v3/crm/notes","OK","200","219","3622","Body response includes id attribute, Body response includes text string, Body response includes author attribute, Body response includes name attribute, Body response includes contactIds attribute, Body response includes dealIds attribute, Body response includes companyIds attribute, Content-Type is present n headers, Content-Encoding is present n headers, Transfer-Encoding is present n headers",,,"10","10","0","0"
"1","API_Project_Brevo","Create a note","POST","https://api.brevo.com/v3/crm/notes","Created","201","923","690","Body response includes id string, Body response includes text string, Body response includes contactIds attribute, Body response includes companyIds attribute, Body response includes dealIds attribute, Body response includes authorId attribute, Content-Type is present n headers, Content-Length is present in headers",,,"8","8","0","0"
"1","API_Project_Brevo","Get a note","GET","https://api.brevo.com/v3/crm/notes/6632a0a0d8ccc2aafe650113","OK","200","252","739","Body response includes id string, Body response includes text string, Body response includes contactIds attribute, Body response includes companyIds attribute, Body response includes dealIds attribute, Body response includes authorId attribute, Body response includes author attribute, Content-Type is present n headers",,,"8","8","0","0"
"1","API_Project_Brevo","Update a note","PATCH","https://api.brevo.com/v3/crm/notes/663a8651f4b9df971c04dc02","OK","200","213","474","Body response includes text string, Body response includes contactIds attribute, Body response includes companyIds attribute, Body response includes dealIds attribute, Body response includes authorId attribute, Content-Type is present n headers, Content-Encoding is present in headers",,,"7","7","0","0"
"1","API_Project_Brevo","Delete a note","DELETE","https://api.brevo.com/v3/crm/notes/663a8651f4b9df971c04dc02","No Content","204","278","0","Empty body response, Status code is 204, Status code name has a No Content string",,,"3","3","0","0"
"1","API_Project_Brevo","Get all files","GET","https://api.brevo.com/v3/crm/files","OK","200","251","2129","Body response includes id attribute, Body response includes size string, Body response includes authorId attribute, Body response includes name attribute, Body response includes contactId attribute, Body response includes dealId attribute, Body response includes companyId attribute, Content-Encoding is present in headers, Transfer-Encoding is present in headers, Connection is present in headers",,,"10","10","0","0"
"1","API_Project_Brevo","Upload a file","POST","https://api.brevo.com/v3/crm/files","Bad Request","400","169","26","Test that response body includes the file ID, Content-Type is present in headers, Connection is present in headers","Test for the file name value, Test for the authorId value, Test for the companyId value, Test for the dealId value, Test for the contactId value, Transfer-Encoding is present in headers",,"9","3","6","0"
